
リグル＝ナイトバグ
キック(命中),                             スーパーキック
旧秘境史(命中),                           飛沫 青 Glass.wav;飛沫 赤 Glass.wav;飛沫 赤 Glass.wav
一条戻り橋(攻撃),                         多触手 白 Beamvalcan.wav;多触手 桃 Beamvalcan.wav;@東方ホワイトイン 50 MicroMissile.wav
一条戻り橋(命中),                         触手 白 Beamvalcan.wav;触手 桃 Beamvalcan.wav
新幻想史(攻撃),                           ８ＷＡＹ射出;拡散ビーム 青;ベアリング gunpod.wav
新幻想史(命中),                           拡散ビーム 青 MicroMissile.wav
無何有浄化(攻撃),                         多触手 青 Beamvalcan.wav;多触手 赤 Beamvalcan.wav;@東方ホワイトイン 50 MicroMissile.wav
無何有浄化(命中),                         多触手 青 Beamvalcan.wav;多触手 赤 Beamvalcan.wav;多触手 青 Beamvalcan.wav;多触手 赤 Beamvalcan.wav
#
### 因幡てゐ
#
フラスターエスケープ,                     粒子集中 赤 Charge.wav
エンシェントデューパー(攻撃),             ＭＡＰビーム 青
エンシェントデューパー(命中),             -.wav
兎玉(攻撃),                               回転発射 Magic\EFFECT_Hexagram(Red)04.bmp 32 Beam.wav 発光 遅;_
                                          回転発射 Magic\EFFECT_Hexagram(Red)04.bmp 32 Beam.wav 発光 遅
兎玉(命中),                               ダメージ FightHit(1).wav;ダメージ FightHit(1).wav
二兎追(準備),                             エナジーブレード 赤 二刀流
二兎追(攻撃),                             @東方円月殺法エフェクト 赤 BeamSaber.wav;@東方円月殺法エフェクト 赤 BeamSaber.wav
二兎追(命中),                             回転ビームナイフ 赤 BeamSaber.wav
開運大紋(攻撃),                           ホーミングレーザー 赤 Beamvalcan.wav;ホーミングレーザー 白 Beamvalcan.wav
開運大紋(命中),                           ホーミングレーザー 赤 Beamvalcan.wav;ホーミングレーザー 白 Beamvalcan.wav
因幡の素兎(攻撃),                         ８ＷＡＹ射出;_
                                          回転発射 Magic\EFFECT_Hexagram(Red)04.bmp 32 Beam.wav 発光 遅;_
                                          回転発射 Magic\EFFECT_Hexagram(Red)04.bmp 32 Beam.wav 発光 遅
因幡の素兎(命中),                         ダメージ;ダメージ;ホーミングレーザー 赤 Beamvalcan.wav
大穴牟遅様の薬(攻撃),                     ホーミングレーザー 黄 Beamvalcan.wav;ホーミングレーザー 緑 Beamvalcan.wav
大穴牟遅様の薬(命中),                     ホーミングレーザー 黄 Beamvalcan.wav;ホーミングレーザー 緑 Beamvalcan.wav
#
### 鈴仙＝Ｕ＝イナバ
#
狂気の瞳(攻撃),                           @狂眼 Inori.wav
赤眼催眠(攻撃),                           ８ＷＡＹ射出;８ＷＡＹ射出;@狂眼 Inori.wav
赤眼催眠(命中),                           ベアリング gunpod.wav
生神停止(攻撃),                           ４ＷＡＹ射出;@狂眼 Inori.wav
生神停止(命中),                           オールレンジ
狂視調律(攻撃),                           ４ＷＡＹ射出;６ＷＡＹ射出;８ＷＡＹ射出;@狂眼 Storm.wav
狂視調律(命中),                           拡散ビーム 白 MultipleRocketLauncher.wav;拡散ビーム 白 MultipleRocketLauncher.wav
幻朧月睨(攻撃),                           魔法放射 赤 大 Interference.wav;大電撃 Explode(1).wav;@狂眼 MicroMissile.wav
幻朧月睨(命中),                           中ビーム 赤 Jet.wav;超斬撃 Explode(1).wav
月兎遠隔催眠術(攻撃),                     ４ＷＡＹ射出;６ＷＡＹ射出;８ＷＡＹ射出;@狂眼 MicroMissile.wav	
月兎遠隔催眠術(命中),                     拡散ビーム 白 ランダム方向 Breath.wav;拡散ビーム 白 ランダム方向 Breath.wav
Ｍ・エクスプロージョン(解説),             $(ユニット)はマインドエクスプロージョンで攻撃をかけた。
Ｍ・エクスプロージョン(攻撃),             実弾発射 Anime\EFFECT_EPS_MindExplosion(Bullet).bmp 48 Whiz.wav 発光 遅
Ｍ・エクスプロージョン(命中),             大放電 赤 BeamSaber.wav
栄華之夢(攻撃),                           気斬 白 遅 - -.wav
栄華之夢(命中),                           大放電 赤 BeamSaber.wav;拡散ビームライフル 白 ランダム方向 Breath.wav
朧月花栞(攻撃),                           ２連小ビーム 赤 Beamvalcan.wav;@狂眼 Inori.wav
朧月花栞(命中),                           ２連小ビーム 赤 ランダム方向 Beamvalcan.wav;２連小ビーム 赤 ランダム方向 Beamvalcan.wav
風狂の夢(攻撃),                           ホーミングレーザー 青 Beamvalcan.wav;@狂眼 Inori.wav
風狂の夢(命中),                           ホーミングレーザー 青 MicroMissile.wav;ホーミングレーザー 青 MicroMissile.wav
#
### 八意永琳
#
壺中の天地(攻撃),                         ８ＷＡＹ射出;回転発射 Magic\EFFECT_MagicEmblem(Blue)01.bmp 32 Beam.wav 発光 遅
壺中の天地(命中),                         魔法陣 青 -.wav 背面;オールレンジ;ベアリング GunPod.wav
神代の記憶(攻撃),                         @天人の系譜
神代の記憶(命中),                         小ビーム 白 ランダム方向;小ビーム 白 ランダム方向
オモイカネディバイス(攻撃),               全拡散ビーム 青 Storm.wav
オモイカネディバイス(命中),               大ビーム 青 Jet.wav;ベアリング GunPod.wav;連続爆発
アポロ１３(攻撃),                         ＭＡＰ発光 赤 Whiz.wav;@東方ホワイトイン 20 Inori.wav;@東方ホワイトイン 20 Inori.wav;_
                                          ＭＡＰ発光 青 Whiz.wav;@東方ホワイトイン 20 Inori.wav
アポロ１３(命中),                         オールレンジ;光球 赤 Glass.wav;光球 青 Glass.wav
ライフゲーム(攻撃),                       ４ＷＡＹ射出;拡散ビーム 赤 MicroMissile.wav
ライフゲーム(命中),                       光球 青 Glass.wav;光球 青 Glass.wav;拡散ビーム 赤 GunPod.wav
蓬莱の薬(命中),                           オールレンジ
天文密葬法(攻撃),                         ＭＡＰダークネス -.wav;８ＷＡＹ射出;_
                                          回転発射 Magic\EFFECT_MagicEmblem(Blue)01.bmp 32 Beam.wav 発光 遅;_
                                          回転発射 Magic\EFFECT_MagicEmblem(Blue)01.bmp 32 Beam.wav 発光 遅;光球 赤 Warship.wav
天文密葬法(命中),                         魔法陣 青 -.wav 背面;拡散ビーム 青 Beamvalcan.wav;拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 黒 Beamvalcan.wav
胡蝶夢丸ナイトメア(攻撃),                 全拡散ビーム 青 Beamvalcan.wav
胡蝶夢丸ナイトメア(命中),                 ビームライフル 青 Laser.wav
#
### 蓬莱山輝夜
#
火鼠の皮衣-焦れぬ心-(攻撃),               周囲回転 Anime\Fire\EFFECT_Fire(Red)02.bmp 32 Breath.wav 発光 3;６ＷＡＹ射出
火鼠の皮衣-焦れぬ心-(命中),               炎投射 赤 Breath.wav;炎投射 赤 Breath.wav
燕の子安貝-永命線-(攻撃),                 回転発射 Anime\MapBeam\EFFECT_360Beam(White)04.bmp 64 LaserGun.wav
燕の子安貝-永命線-(命中),                 オールレンジ
仏の御石の鉢-砕けぬ意志-(攻撃),           拡散ビーム 白
仏の御石の鉢-砕けぬ意志-(命中),           拡散ビーム 白
龍の頸の玉-五色の弾丸-(攻撃),             拡散ビーム 黄
龍の頸の玉-五色の弾丸-(命中),             光球 青 Stab.wav;光球 赤 Stab.wav;光球 緑 Stab.wav
蓬莱の弾の枝-虹色の弾幕-(攻撃),           ４ＷＡＹ射出;６ＷＡＹ射出;_
                                          @戦闘アニメ_交差ビーム命中 青 赤 Whiz.wav ランダム方向;_
                                          @戦闘アニメ_交差ビーム命中 緑 桃 Whiz.wav ランダム方向
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 青 Breath.wav
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 赤 Breath.wav
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 黄 Breath.wav
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 緑 Breath.wav
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 橙 Breath.wav
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 桃 Breath.wav
蓬莱の弾の枝-虹色の弾幕-(命中),           拡散ビーム 白 Breath.wav
蓬莱の玉の枝-夢色の郷-(攻撃),             実弾発射 武器画像=ＳＴＧ弾２(赤) 16 Whiz.wav;実弾発射 武器画像=ＳＴＧ弾２(紫) 16 Whiz.wav;実弾発射 武器画像=ＳＴＧ弾２(青) 16 Whiz.wav;_
                                          実弾発射 武器画像=ＳＴＧ弾２(緑) 16 Whiz.wav;実弾発射 武器画像=ＳＴＧ弾２(黄) 16 Whiz.wav
蓬莱の玉の枝-夢色の郷-(命中),             飛沫 赤;飛沫 紫;飛沫 青;飛沫 緑;飛沫 黄
永夜返し<M>(攻撃),                        -
永夜返し<M>(命中),                        -
永夜返し-夜明け-(攻撃),                   -
永夜返し-夜明け-(命中),                   -
#
### 藤原妹紅
#
滅罪寺院傷(攻撃),                         投擲武器 Anime\EFFECT_EPS_Ofuda01(Purple).bmp 32 - 速 残像 Whiz.wav;_
                                          投擲武器 Anime\EFFECT_EPS_Ofuda01(Blue).bmp 32 - 速 残像 Whiz.wav;_
                                          投擲武器 Anime\EFFECT_EPS_Ofuda01(Purple).bmp 32 - 速 残像 Whiz.wav
滅罪寺院傷(命中),                         強打 BreakOff.wav
月のいはかさの呪い(攻撃),                 投げナイフ;投げナイフ bow.wav;拡散ビーム 緑 Gunpod.wav
月のいはかさの呪い(命中),                 乱突
火の鳥-鳳翼天翔-(攻撃),                   @鳳翼天翔
火の鳥-鳳翼天翔-(命中),                   炎 赤 Breath.wav
ウー(攻撃),                               振り上げ;振り下ろし;@戦闘アニメ_拡散ビーム命中 赤 Glass.wav
ウー(命中),                               連斬撃 slash.wav;乱突 Stab.wav
パゼストバイフェニックス(攻撃),           透明化 対象ユニットＩＤ;スーパータックル 赤 Breath.wav
パゼストバイフェニックス(命中),           大ビーム 赤 FlyBy(High).wav
フェニックスの尾(攻撃),                   ４ＷＡＹ射出;６ＷＡＹ射出;８ＷＡＹ射出
フェニックスの尾(命中),                   旋風 赤 Breath.wav
蓬莱人形(攻撃),                           ２ＷＡＹ射出;@戦闘アニメ_ホーミングレーザー命中 青 Whiz.wav ランダム方向;_
                                          @戦闘アニメ_ホーミングレーザー命中 赤 Whiz.wav ランダム方向;_
                                          中ビーム 赤 Breath.wav;@戦闘アニメ_中ビーム命中 赤 Breath.wav
蓬莱人形(命中),                           オールレンジ
正直者の死(攻撃),                         ８ＷＡＹ射出 Breath.wav;持続ビーム 赤
正直者の死(命中),                         超斬撃 Crash.wav
フジヤマヴォルケイノ(攻撃),               @フジヤマヴォルケイノ攻撃
フジヤマヴォルケイノ(命中),               @フジヤマヴォルケイノ命中
Ｉ・シューティング(解説),                 $(ユニット)はインペリシャブルシューティングの呪文を唱えた。
Ｉ・シューティング(攻撃),                 @東方ホワイトイン 50 MicroMissile.wav
Ｉ・シューティング(命中),                 光球 青 Glass.wav;光球 青 Glass.wav;光球 青 Glass.wav
フェニックス再誕(攻撃),                   @フェニックス再誕
フェニックス再誕(命中),                   旋風 赤 Breath.wav;炎 赤 Breath.wav
#
### 射命丸文
#
阻止(天狗颪),                             竜巻 水色 Whiz.wav
天狗の扇(攻撃),                           斬撃
天狗の扇(命中),                           強風
写真撮影(攻撃),                           ロックオン;六芒星 赤 Shutter.wav
写真撮影(命中),                           センタリング 相手ユニットＩＤ Page.wav 5
風弾(攻撃),                               気斬 白 速 残像 Whiz.wav
風弾(命中),                               強風
補扇(攻撃),                               実弾発射 Anime\EFFECT_EPS_Hosen.bmp 48 Whiz.wav 発光 遅 残像
補扇(命中),                               強風
天狗烈風弾(攻撃),                         実弾発射 Anime\EFFECT_EPS_Hosen.bmp 48 Whiz.wav 発光 速 残像;2;_
                                          実弾発射 Anime\EFFECT_EPS_Hosen.bmp 48 Whiz.wav 発光 速 残像
天狗烈風弾(命中),                         強風
風神一扇(攻撃),                           拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 赤 Beamvalcan.wav
風神一扇(命中),                           拡散ビーム 赤 MicroMissile.wav
風神少女(攻撃),                           ベアリング Beamvalcan.wav;_
                                          実弾発射 Anime\EFFECT_EPS_Hosen.bmp 48 Whiz.wav 発光 速 残像;2;拡散ビーム 赤 Beamvalcan.wav
風神少女(命中),                           拡散ビーム 赤 Beamvalcan.wav;強風;ベアリング Beamvalcan.wav
天の八衢(攻撃),                           ８ＷＡＹ射出
天の八衢(命中),                           点打 白 Explode.wav
幻想風靡(攻撃),                           急降下
幻想風靡(命中),                           透明化 対象ユニットＩＤ 反映;小ビーム 赤 AntiAirMissile.wav ランダム方向;小ビーム 赤 AntiAirMissile.wav ランダム方向;_
                                          交差ビーム 赤 AntiAirMissile.wav ランダム方向;_
                                          包囲ビーム 赤 MicroMissile.wav;包囲ビーム 赤 -.wav;包囲ビーム 赤 -.wav;透明化 対象ユニットＩＤ 解除 反映
山神渡御(攻撃),                           連続描画 エフェクト画像=竜巻連続描画(白) 48 0.5 10 前面 Storm.wav
山神渡御(命中),                           竜巻 白 Saber.wav
天孫降臨(攻撃),                           連続描画 エフェクト画像=竜巻連続描画(白) 64 0.5 15 前面 Storm.wav
天孫降臨(命中),                           竜巻 白 Saber.wav
#
### メディスン＝メランコリー
#
スウィートポイズン,                       煙 桃
ポイズンブレス(攻撃),                     煙 桃 対象ユニットＩＤ;４ＷＡＹ射出
ポイズンブレス(命中),                     煙 桃;ベアリング Beamvalcan.wav
ガシングガーデン(攻撃),                   煙 桃 対象ユニットＩＤ;８ＷＡＹ射出
ガシングガーデン(命中),                   煙 桃;木の葉乱舞 Chaff.wav
神経の毒(攻撃),                           煙 桃 対象ユニットＩＤ;ホーミングレーザー 桃 Beamvalcan.wav
神経の毒(命中),                           煙 桃;ホーミングレーザー 桃 Beamvalcan.wav
鈴蘭の毒,                                 煙 桃
ポイズンビー(攻撃),                       妖精 FlyBy.wav
ポイズンビー(命中),                       妖精 Stab.wav
憂鬱の毒(攻撃),                           煙 桃 対象ユニットＩＤ;８ＷＡＹ射出;拡散ビーム 赤
憂鬱の毒(命中),                           煙 桃;拡散ビーム 赤;球電
イントゥデリリウム(攻撃),                 煙 桃 対象ユニットＩＤ;球電;光球 緑
イントゥデリリウム(命中),                 煙 桃;球電;光球 緑
#
### 風見幽香
#
シールド防御(太陽のパラソル),             洋傘防御 桃 "太陽のパラソル"
フラワーショット(攻撃),                   実弾発射 Anime\EFFECT_EPS_FlowerBullet01.bmp 32 Chaff.wav - 速;_
                                          実弾発射 Anime\EFFECT_EPS_FlowerBullet02.bmp 32 Chaff.wav - 速;_
                                          実弾発射 Anime\EFFECT_EPS_FlowerBullet03.bmp 32 Chaff.wav
フラワーショット(命中),                   重機関砲 Beamvalcan.wav
フラワーシューティング(攻撃),             実弾発射 Anime\EFFECT_EPS_FlowerShooting01(Shot).bmp 32 Chaff.wav - 速;_
                                          実弾発射 Anime\EFFECT_EPS_FlowerShooting02(Shot).bmp 32 Chaff.wav - 速;_
                                          実弾発射 Anime\EFFECT_EPS_FlowerShooting03(Shot).bmp 32 Chaff.wav
フラワーシューティング(命中),             重機関砲 Beamvalcan.wav
幻想郷の開花(攻撃),                       全拡散ビーム 黄 Cannon.wav
幻想郷の開花(命中),                       拡散ビーム 黄 MicroMissile.wav
花鳥風月、嘯風弄月(攻撃),                 全拡散ビーム 黄 Cannon.wav;２連小ビーム 黄 Laser.wav;ホーミングレーザー 赤 Beamvalcan.wav
花鳥風月、嘯風弄月(命中),                 ホーミングレーザー 黄 Beamvalcan.wav;ホーミングレーザー 赤 Beamvalcan.wav
#
### 小野塚小町
#
浄化の刃(準備),                           大鎌 Reload(5).wav
浄化の刃(攻撃),                           気斬 白 速 残像 Whiz.wav
浄化の刃(命中),                           斬撃
故人の縁(攻撃),                           ８ＷＡＹ射出;実弾発射 Beam\EFFECT_LBeam(Orange)04.bmp 16 Whiz.wav 発光 速 残像;_
                                          実弾発射 Beam\EFFECT_LBeam(White)04.bmp 16 Whiz.wav 発光 速 残像;_
                                          実弾発射 Beam\EFFECT_LBeam(Yellow)04.bmp 16 Whiz.wav 発光 速 残像
故人の縁(命中),                           連打 FightHit(1).wav
死神の投げ銭(攻撃),                       投擲武器 Beam\EFFECT_LBeam(Orange)04.bmp 16 Whiz.wav 発光 速 残像;_
                                          投擲武器 Beam\EFFECT_LBeam(White)04.bmp 16 Whiz.wav 発光 速 残像;_
                                          投擲武器 Beam\EFFECT_LBeam(Yellow)04.bmp 16 Whiz.wav 発光 速 残像
死神の投げ銭(命中),                       ダメージ FightHit(1).wav
宵越しの銭(攻撃),                         拡散ビーム 黄 Beamvalcan.wav;拡散ビーム 白 Beamvalcan.wav;拡散ビーム 橙 Beamvalcan.wav
宵越しの銭(命中),                         連打 FightHit(1).wav
ヒガンルトゥール(攻撃),                   拡散ビーム 黄 Beamvalcan.wav;_
                                          ベアリング Beamvalcan.wav;全拡散ビーム 橙 Beamvalcan.wav
ヒガンルトゥール(命中),                   連打 FightHit(1).wav;ベアリング Beamvalcan.wav;小ビーム 橙 BeamCoat.wav
黄泉中有の旅の雨(攻撃),                   多触手 黄 Beamvalcan.wav;多触手 白 Beamvalcan.wav;ベアリング Beamvalcan.wav
黄泉中有の旅の雨(命中),                   拡散ビーム 青 Beamvalcan.wav;連打 FightHit(1).wav
八重霧の渡し(準備),                       大鎌 Reload(5).wav
八重霧の渡し(攻撃),                       ８ＷＡＹ射出;全拡散ビーム 青 MultipleRocketLauncher(Light).wav;スピンアタック 青
八重霧の渡し(命中),                       スピンアタック 青;斬撃乱舞 Saber.wav
プライス・オブ・ライフ(攻撃),             ８ＷＡＹ射出 AntiAirMissile.wav;多触手 黄 Beamvalcan.wav;多触手 白 Beamvalcan.wav
プライス・オブ・ライフ(命中),             多触手 黄 Beamvalcan.wav;多触手 白 Beamvalcan.wav;ベアリング Beamvalcan.wav;連打 FightHit(1).wav
#
### 四季映姫＝ヤマザナドゥ
#
反射(浄頗梨審判),                         @浄頗梨審判 32 発光 BeamCoat.wav 相手ユニットＩＤ;反射 - 浄頗梨審判
卒塔婆(攻撃),                             実弾発射 Anime\EFFECT_EPS_Sotoba01.bmp 32 Missile.wav
卒塔婆(命中),                             小爆発
徳の説示(攻撃),                           実弾発射 Anime\EFFECT_EPS_TokunoSetuji.bmp 32 AntiAirMissile.wav - 残像;_
                                          実弾発射 Anime\EFFECT_EPS_TokunoSetuji.bmp 32 AntiAirMissile.wav - 残像
徳の説示(命中),                           小爆発;小爆発
罪の具現(攻撃),                           煙 黒 対象ユニットＩＤ;実弾発射 Anime\EFFECT_EPS_Sotoba02.bmp 32 Missile.wav 遅 残像
罪の具現(命中),                           小爆発
弾幕裁判,                                 オーラ 黒 対象ユニットＩＤ
彷徨える大罪(攻撃),                       ベアリング GunPod.wav;ベアリング GunPod.wav;実弾発射 Anime\EFFECT_EPS_Sotoba02.bmp 32 Missile.wav
彷徨える大罪(命中),                       ベアリング GunPod.wav;ベアリング GunPod.wav;爆発
十王裁判(攻撃),                           全拡散ビーム 青 Beamvalcan.wav;_
                                          持続ビーム 青 Laser.wav;全拡散ビーム 白 Beamvalcan.wav;持続ビーム 白 Laser.wav
十王裁判(攻撃),                           全拡散ビーム 黄 Beamvalcan.wav;_
                                          持続ビーム 黄 Laser.wav;全拡散ビーム 橙 Beamvalcan.wav;持続ビーム 橙 Laser.wav
十王裁判(攻撃),                           全拡散ビーム 赤 Beamvalcan.wav;_
                                          持続ビーム 赤 Laser.wav;全拡散ビーム 桃 Beamvalcan.wav;持続ビーム 桃 Laser.wav
十王裁判(命中),                           拡散ビーム 青 Beamvalcan.wav;拡散ビーム 白 Beamvalcan.wav;拡散ビーム 黄 Beamvalcan.wav
十王裁判(命中),                           拡散ビーム 橙 Beamvalcan.wav;拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 桃 Beamvalcan.wav
タン・オブ・ウルフ(攻撃),                 全拡散ビーム 青 Beamvalcan.wav;全拡散ビーム 白 Beamvalcan.wav
タン・オブ・ウルフ(命中),                 拡散ビーム 青 Beamvalcan.wav;拡散ビーム 白 Beamvalcan.wav
ラストジャッジメント(攻撃),               煙 黒 対象ユニットＩＤ;実弾発射 Anime\EFFECT_EPS_Sotoba02.bmp 32 Missile.wav;_
                                          全拡散ビーム 青 Charge.wav;大ビーム 桃 Laser.wav
ラストジャッジメント(命中),               小爆発;大ビーム 桃 Laser.wav;超爆発
ギルティOrノットギルティ(解説),           $(ユニット)はギルティ・オワ・ノットギルティで攻撃をかけた。
ギルティOrノットギルティ(攻撃),           全拡散ビーム 青 Charge.wav;大ビーム 赤 Laser.wav
ギルティOrノットギルティ(命中),           拡散ビーム 青 Beam.wav;大ビーム 赤 Laser.wav;超爆発
#
### 秋静葉
#
拡散弾(黄)(攻撃),                         拡散弾幕 武器画像=ＳＴＧ弾２(黄) 16 個数=5 回数=2 速;_
                                          拡散弾幕 武器画像=ＳＴＧ弾２(赤) 16 個数=5 回数=1 速
拡散弾(黄)(命中),                         点打 黄 Explode.wav
微粒弾(攻撃),                             拡散弾幕 武器画像=ＳＴＧ弾１(赤) 8 個数=12 回数=3 角度範囲=180 速
微粒弾(命中),                             点打 赤 Explode.wav
狂いの落葉(攻撃),                         実弾発射 エフェクト画像=ブースト４(桃) 64 Beamvalcan.wav;_
                                          実弾発射 エフェクト画像=ブースト４(黄) 64 -.wav;_
                                          実弾発射 エフェクト画像=ブースト４(黄) 64 -.wav
狂いの落葉(命中),                         点打 黄 Explode.wav
#
### 秋穣子
#
捻り弾(攻撃),                             重機関砲 Beamvalcan.wav
捻り弾(命中),                             重機関砲
オータムスカイ(攻撃),                     平行弾幕 画像ファイル=Hit\EFFECT_ClawSlashHit(Red)03.bmp=Hit\EFFECT_ClawSlashHit(Purple)03.bmp=Hit\EFFECT_ClawSlashHit(Blue)03.bmp 16 個数=3 回数=1 速 前転
オータムスカイ(命中),                     点打 紫 Explode.wav
秋の空と乙女の心(攻撃),                   平行弾幕 画像ファイル=Hit\EFFECT_ClawSlashHit(Red)03.bmp=Hit\EFFECT_ClawSlashHit(Purple)03.bmp=Hit\EFFECT_ClawSlashHit(Blue)03.bmp 16 個数=3 回数=1 速 前転;_
                                          拡散弾幕 武器画像=ＳＴＧ弾２(黄) 16 個数=9 回数=3 角度範囲=180 速
秋の空と乙女の心(命中),                   点打 紫 Explode.wav
オヲトシハーベスター(攻撃),               実弾発射 Beam\EFFECT_BeamHit(Yellow)02.bmp Laser.wav 残像
オヲトシハーベスター(命中),               小ビーム 黄
穀物神の約束(攻撃),                       拡散ビーム 黄 Laser.wav
穀物神の約束(命中),                       拡散ビーム 黄
#
### 鍵山雛
#
自動反撃(無数の厄),                       召喚 EPS_Kedama(Eiyasyou)(Green)U.bmp
無数の厄(攻撃),                           回転発射 EPS_Kedama(Eiyasyou)(Green)U.bmp
無数の厄(命中),                           強打
厄札(準備),                               -
厄札(攻撃),                               実弾発射 武器画像=札弾(赤) 16 Whiz.wav;実弾発射 武器画像=札弾(青) 16 Whiz.wav
厄札(命中),                               点打 赤 Explode.wav
ブロークンアミュレット(攻撃),             六芒星 赤 -.wav 対象ユニットＩＤ;@戦闘アニメ_飛沫命中 赤 Glass.wav 対象ユニットＩＤ;_
                                          @戦闘アニメ_飛沫命中 赤 Glass.wav 対象ユニットＩＤ;@戦闘アニメ_飛沫命中 赤 Glass.wav 対象ユニットＩＤ
ブロークンアミュレット(命中),             点打 赤 Explode.wav
バッドフォーチュン(攻撃),                 ホーミング弾 画像ファイル=Hit\EFFECT_ClawSlashHit(Red)03.bmp 16 個数=1 Beamvalcan.wav
バッドフォーチュン(命中),                 点打 赤 Explode.wav
Ｍフォーチュンズホイール(解説),           $(ユニット)はミスフォーチュンズホイールで攻撃をかけた。
Ｍフォーチュンズホイール(攻撃),           強風 Beamvalcan.wav 対象ユニットＩＤ
Ｍフォーチュンズホイール(命中),           点打 青 Saber.wav
大鐘婆の火(攻撃),                         画像前面発射 武器画像=光斬輪(赤) Fire.wav 発光 1
大鐘婆の火(命中),                         炎 赤
ペインフロー,                             ニードル連射
流刑人形(攻撃),                           ニードル連射;実弾発射 Common\EFFECT_Particle(Black)01.bmp 32 Whiz.wav
流刑人形(命中),                           ニードル連射;飛沫 黒 Inori.wav
#
### 河城にとり
#
ウーズフラッディング(命中),               魔法集中 青 Splash.wav 小
デリューヴィアルメア(命中),               魔法集中 青 Splash.wav 中
河童のポロロッカ(攻撃),                   泡 青 Interference.wav
河童のポロロッカ(命中),                   津波 Splash.wav
河童のフラッシュフラッド(準備),           泡 青
河童のフラッシュフラッド(攻撃),           泡 青 Interference.wav
河童のフラッシュフラッド(命中),           津波 Splash.wav
お化けキューカンバー(準備),               投擲武器 Beam\EFFECT_Beam(Green)04.bmp
お化けキューカンバー(攻撃),               投擲武器 Beam\EFFECT_Beam(Green)04.bmp;投擲武器 Beam\EFFECT_Beam(Green)04.bmp
お化けキューカンバー(命中),               打撃 緑
のびーるアーム(攻撃),                     実弾発射 Beam\EFFECT_BeamHit(Green)02.bmp Whiz.wav 残像
のびーるアーム(命中),                     打撃 緑 BreakOff.wav
#
### 犬走椛
#
刀,                                       斬撃
高速楔弾(水色)(攻撃),                     実弾発射 武器画像=ＳＴＧ弾７(水色) 16 Missile.wav;実弾発射 武器画像=ＳＴＧ弾７(水色) 16 Missile.wav
高速楔弾(水色)(命中),                     刺突
のの字弾幕(攻撃),                         文字発射 の 水色 Beamvalcan.wav 遅 残像
のの字弾幕(命中),                         点打 青 Explode.wav
#
### 東風谷早苗
#
グレイソーマタージ(攻撃),                 @グレイソーマタージ
グレイソーマタージ(命中),                 飛沫 白
白昼の客星,                               拡散ビーム 白
海が割れる日(準備),                       振る武器 Anime\Action\EFFECT_Burn(LightBlue)06.bmp Interference.wav 二刀流
海が割れる日(攻撃),                       実弾発射 Anime\Common\EFFECT_SonicBoom(Red)02.bmp Whiz.wav 残像
海が割れる日(命中),                       点打 赤 Explode.wav
神の風(準備),                             五芒星 青 BeamShot.wav
神の風(攻撃),                             変形 Anime\Common\EFFECT_BubbleSphere(Green)01.bmp Storm.wav;強風 -.wav 対象ユニットＩＤ
神の風(命中),                             旋風 緑
ミラクルフルーツ(攻撃),                   投擲武器 武器画像=ＳＴＧ弾５(桃)
ミラクルフルーツ(命中),                   連続描画 エフェクト画像=全拡散ビーム連続描画(桃) 48 4 1 前面 Cannon.wav
スカイサーペント(攻撃),                   ニードルレーザー連射 白 Bow.wav
スカイサーペント(命中),                   噛み付き
コバルトスプレッド(攻撃),                 実弾発射 Anime\Common\EFFECT_SonicBoom(Blue)01.bmp Whiz.wav;実弾発射 Anime\Common\EFFECT_SonicBoom(Blue)01.bmp Whiz.wav
コバルトスプレッド(命中),                 飛沫 青 Explode.wav;飛沫 青 Explode.wav
神代大蛇(攻撃),                           ＭＡＰオーラ 橙 Shock(Low).wav
神代大蛇(命中),                           飛沫 橙 Stab.wav
手管の蝦蟇(攻撃),                         @戦闘アニメ_放電準備;粒子集中 白 Charge(high).wav 対象ユニットＩＤ;フラッシュ 白 Whip.wav
手管の蝦蟇(命中),                         大爆発
#
### 八坂神奈子
#
Ｅ・オンバシラ(解説),                     $(ユニット)はエクスパンデッド・オンバシラで攻撃をかけた。
Ｅ・オンバシラ(攻撃),                     ＭＡＰビーム 赤 Bazooka.wav チャージなし
Ｅ・オンバシラ(命中),                     強打 Crash.wav
神の粥(攻撃),                             実弾発射 武器画像=ＳＴＧ弾５(橙) Cannon.wav;実弾発射 武器画像=ＳＴＧ弾５(紫) Cannon.wav
神の粥(命中),                             ベアリング
御射山御狩神事(準備),                     射撃武器 Anime\Bullet\EFFECT_EPS_Bullet(Red)05.bmp Whiz.wav
御射山御狩神事(攻撃),                     実弾発射 Anime\Bullet\EFFECT_EPS_Bullet(Red)05.bmp MicroMissile.wav 残像;_
