

侍魂
蹴撃, キック
猪打ち・犀打ち・臓打ち(命中), 強打 Crash.wav;強打 Crash.wav;強打 Crash.wav
竜巻烈破(準備), 発光 青
竜巻烈破(攻撃), スピンアタック 赤 Storm.wav
竜巻烈破(命中), スピンアタック 赤 Slash.wav
嵐刃の臥龍(準備), 発光 青
嵐刃の臥龍(攻撃), タックル
嵐刃の臥龍(命中), 大斬撃

乱鳳(侍魂)
風呼霊(攻撃), 斬撃
風呼霊(命中), 強打 Crash.wav
土龍鳴き(攻撃), 斬撃;振動
土龍鳴き(命中), 落下 Crash.wav
大蛇掴み(攻撃), なぎ払い Swing.wav
大蛇掴み(命中), 超打 Crash.wav
猪豚狩り(攻撃), 斬撃;斬撃;振り上げ
猪豚狩り(命中), 超打 Crash.wav
樋熊・蟇蛙・飛蝗(準備), 発光 青
樋熊・蟇蛙・飛蝗(攻撃), 振り上げ
樋熊・蟇蛙・飛蝗(命中), 振り上げ Crash.wav;超打 Crash.wav;アッパー Crash.wav
黒鵺(準備), 発光 青
黒鵺(攻撃), 格闘
黒鵺(命中), 超打 Crash.wav;肩乗り

眠兎(侍魂)
紅葉の猫鎚(攻撃), 斬撃
紅葉の猫鎚(命中), 強打 Punch.wav
ぢめんがゆれるの、何で？(攻撃), 斬撃;振動
ぢめんがゆれるの、何で？(命中), 落下 Punch.wav
モトダチ・ダチトモ(攻撃), なぎ払い Swing.wav
モトダチ・ダチトモ(命中), 超打 Punch.wav
飛んでけ、ウケケ！(攻撃), 斬撃;斬撃;振り上げ
飛んでけ、ウケケ！(命中), 超打 Punch.wav
ミントの三段階バッチング(準備), 発光 青
ミントの三段階バッチング(攻撃), 振り上げ
ミントの三段階バッチング(命中), 振り上げ Punch.wav;超打 Punch.wav;アッパー Punch.wav
ごーつーヘブンだよなっ！(準備), 発光 青
ごーつーヘブンだよなっ！(攻撃), 格闘
ごーつーヘブンだよなっ！(命中), 超打 Punch.wav;肩乗り

陀流磨(侍魂)
仕込み杖・影千代, 斬撃
日本海・荒波一本締め(攻撃), 振り上げ
日本海・荒波一本締め(命中), 光噴出 Slash.wav
先斗町・乱れ桜(攻撃), 連続なぎ払い
先斗町・乱れ桜(命中), 連続なぎ払い
東大寺・釣鐘叩き(攻撃), 斬撃
東大寺・釣鐘叩き(命中), 大斬撃 Crash.wav
桜島・大噴火(準備), 発光 青
桜島・大噴火(攻撃), オーラ上昇 赤 対象ユニットＩＤ;斬撃
桜島・大噴火(命中), 斬撃;振り下ろし;振り上げ;大斬撃
岸和田・喧嘩祭り(準備), 発光 青
岸和田・喧嘩祭り(攻撃), 格闘
岸和田・喧嘩祭り(命中), 強打 Crash.wav;連続なぎ払い;連続なぎ払い;強打  Crash.wav

大熊猫(侍魂)
白兎脚, キック
土龍突, ヘッドバット
満貫爪, 爪撃
猫爪旋(攻撃), 斬撃;斬撃;斬撃
猫爪旋(命中), 連打 Punch.wav
大熊頭(攻撃), タックル
大熊頭(命中), 連打;振り上げ;投げ飛ばし Crash.wav
白鴨舞(攻撃), 斬撃;振り上げ;ヘッドバット
白鴨舞(命中), 強打 Crash.wav;強打 Crash.wav;強打 Crash.wav
猩々旋風撃(準備), 発光 青
猩々旋風撃(攻撃), スピンアタック 白 Storm.wav
猩々旋風撃(命中), スピンアタック 白 Slash.wav
画竜点晴(準備), 発光 青
画竜点晴(攻撃), タックル
画竜点晴(命中), 大斬撃

無限示(侍魂)
フンドシマンアタック五号(攻撃), 煙噴射 黒
フンドシマンアタック五号(命中), 煙 黒;「贖え！」;斬撃 二刀流
フンドシマンアタック四号, ニードル
極彩刃, 斬撃
フンドシマンアタック一～三号(攻撃), なぎ払い
フンドシマンアタック一～三号(命中), なぎ払い
フンドシマンアタック六号(攻撃), 打突
フンドシマンアタック六号(命中), なぎ払い
フンドシマンアタックＧ(準備), 発光 青
フンドシマンアタックＧ(攻撃), 打突
フンドシマンアタックＧ(命中), 大斬撃
フンドシマンアタックＤ(準備), 発光 青
フンドシマンアタックＤ(攻撃), 刺突
フンドシマンアタックＤ(命中), 刺突;「フン！！」;大斬撃

九鬼刀馬
紅煌, 斬撃
朧薙ぎ(攻撃), 刺突
朧薙ぎ(命中), 刺突;振り上げ
閃紅牙(攻撃), 格闘 -.wav;刺突 Saber.wav
閃紅牙(命中), 刺突;刺突
鬼殺伍閃(攻撃), 振り上げ
鬼殺伍閃(命中), 振り上げ;振り下ろし;振り上げ;振り下ろし;刺突;投げ飛ばし Crash.wav
鬼神の構え(攻撃), 斬撃
鬼神の構え(命中), 斬撃乱舞
鬼刃断(攻撃), 斬撃
鬼刃断(命中), 大斬撃
閃紅烈牙(準備), 発光 青
閃紅烈牙(攻撃), 格闘 -.wav;刺突 Saber.wav
閃紅烈牙(命中), 大刺突
鬼刻七陣(準備), 発光 青
鬼刻七陣(攻撃), 格闘
鬼刻七陣(命中), 振り上げ;振り下ろし;振り上げ;振り下ろし;振り上げ;振り下ろし;刺突;振り上げ

命(侍魂)
閉塞闇成(攻撃), 刺突
閉塞闇成(命中), 刺突
癒瑞羽(攻撃), 刺突
癒瑞羽(命中), 刺突;吸収
妖刀哭麟, 日本刀
白き光翼(攻撃), 振り上げ
白き光翼(命中), 振り上げ
黒き闇翼(攻撃), なぎ払い
黒き闇翼(命中), なぎ払い
氷雨(攻撃), アッパー;回転振り上げ
氷雨(命中), 振り上げ;なぎ払い;なぎ払い
神降月(攻撃), 円月殺法 青 Saber.wav
神降月(命中), 斬撃;斬撃;振り上げ;唐竹割り
神帰月(攻撃), 振り上げ
神帰月(命中), 振り上げ;刺突;吹雪 Sharara.wav
天羽降舞(準備), 発光 青
天羽降舞(攻撃), なぎ払い
天羽降舞(命中), 超斬撃
哀濡遠(準備), 発光 青
哀濡遠(攻撃), 格闘 Saber.wav
哀濡遠(命中), 振り上げ;飛沫 青 Sharara.wav;飛沫 青 Sharara.wav;光噴出 青 Sharara.wav;吹雪 Sharara.wav

朧(侍魂)
呪黙刀(攻撃), 斬撃
呪黙刀(命中), 回転斬撃
禁滅槍(攻撃), 斬撃
禁滅槍(命中), 大斬撃

幽堕(侍魂)
悦楽(攻撃), 煙噴射 黒
悦楽(命中), 煙 黒;「フン！」;斬撃 二刀流
法惰, ニードル
紅蓮刃, 斬撃
傲慢・冒涜・蹂躪(攻撃), なぎ払い
傲慢・冒涜・蹂躪(命中), なぎ払い
怨嗟(攻撃), 打突
怨嗟(命中), なぎ払い
報復(準備), 発光 青
報復(攻撃), 打突
報復(命中), 大斬撃
慟哭(準備), 発光 青
慟哭(攻撃), 刺突
慟哭(命中), 刺突;「目障りだ……！」;大斬撃
