
#以下のアイコンは丸投げ画像パックに収録されているものを使用しています
#EFFECT_DMD_Aeon'sGun.bmp
#EFFECT_DMD_BowOfSirius.bmp
#EFFECT_DMD_Cthugha.bmp
#EFFECT_DMD_Ithaqua.bmp
#EFFECT_DMD_Liogor&Zhar.bmp
#EFFECT_DMD_LordByakhee'sRifle.bmp
#EFFECT_DMD_ScimitarOfBarzai(Open).bmp
#EFFECT_DMD_ScimitarOfBarzai(Spin).bmp
#EFFECT_DMD_ScimitarOfBarzai.bmp
#EFFECT_DMD_ShiningTrapezohedron.bmp
#EFFECT_DMD_SwordOfGoldCross(Extend).bmp
#EFFECT_DMD_SwordOfGoldCross.bmp

鬼械神
分身(ニトクリスの鏡), ダミー Glass.wav ニトクリスの鏡
鋼鉄の嵐(攻撃), 旋風 白
鋼鉄の嵐(命中), 旋風 白;光斬撃乱舞 大 白 Crash.wav;大気放出 Explode(Far).wav
工具の嵐(準備), 光球集中 白;四刀流 "DGoods\EFFECT_ScrewDriver(Black)01.bmp" 40 Reload.wav;四刀流 "DGoods\EFFECT_Pliers(Blue)01.bmp" 40 Reload.wav
工具の嵐(攻撃), ８ＷＡＹ射出
工具の嵐(命中), シュートカッター改 "DGoods\EFFECT_ScrewDriver(Black)01.bmp" 40 Crash.wav ランダム方向;シュートカッター改 "DGoods\EFFECT_Pliers(Blue)01.bmp" 40 Crash.wav ランダム方向;シュートカッター改 "DGoods\EFFECT_ScrewDriver(Black)01.bmp" 40 Crash.wav ランダム方向;シュートカッター改 "DGoods\EFFECT_Pliers(Blue)01.bmp" 40 Crash.wav ランダム方向;1;点乱打 白 Crash.wav
ワイヤー(準備), -
ワイヤー(攻撃), 旋回光弾 黄 Drill(2).wav 対象ユニットＩＤ;全拡散ビーム 黄 Snap(E).wav チャージなし
ワイヤー(命中), ホーミングレーザー 黄 Slash.wav
ワイヤー(クリティカル), @戦闘アニメ_大拡散ビーム攻撃 黄 Swing(2).wav チャージなし;3;@戦闘アニメ_大拡散ビーム命中 黄 Slash.wav
エレクトリックブラスト(準備)(鬼械神クロックワーク・ファントム最終ロット), 旋回光弾 黄 Drill(2).wav;発光 黄 -.wav
エレクトリックブラスト(攻撃)(鬼械神クロックワーク・ファントム最終ロット), 全拡散ビーム 黄 Beam.wav チャージなし;2;メガショックビーム 黄
エレクトリックブラスト(命中)(鬼械神クロックワーク・ファントム最終ロット), ホーミングレーザー 黄 Slash.wav;メガショックビーム 黄 Thunderbolt.wav
電撃の嵐(準備), 粒子集中 黄 Charge(high).wav;発光 黄 -.wav;放電 -.wav
電撃の嵐(攻撃), 球体破裂 黄 Thunderbolt.wav 対象ユニットＩＤ
電撃の嵐(命中), 大電撃;2;光斬撃乱舞 大 黄 Thunderbolt.wav;放電 -.wav
核ミサイル(準備), 粒子集中 黄 Charge(high).wav;光噴出 黄 -.wav;2;射撃武器転送 "Bullet\EFFECT_ICBM01.bmp" 64
核ミサイル(攻撃),  AntiShipMissile.wav;ＩＣＢＭ長距離 -.wav;ＭＡＰフラッシュ 白 EvilEye.wav;2;ＭＡＰ超爆発 HyperExplode.wav
核ミサイル(命中), -
這い寄る混沌(準備), 大気吸収 黒 Interference.wav;粒子集中 黒 -.wav;粒子集中 黒 -.wav;球体圧縮 黒 -.wav
這い寄る混沌(攻撃), 重力弾
這い寄る混沌(命中), フラッシュ 黒 EvilEye.wav;大気吸収 黒 -.wav;球体破裂 赤 Laugh.wav;フラッシュ 黒
這い寄る混沌(とどめ), 重力圧縮 Zapper.wav


破壊ロボ
冷凍ビーム(攻撃), 小ビーム ブルー
冷凍ビーム(命中), 小ビーム ブルー;凍結 Glass.wav
破壊ロボ砲(攻撃), 大キャノン砲 Bazooka.wav;大キャノン砲 Bazooka.wav
破壊ロボ砲(命中), 連続大爆発 2
ゴツイ腕, 打突
熱光線, 特殊光線 赤
ドリル, ドリル
ミサイル, ミサイル 8 遅
砲塔, キャノン砲 3
Ｇ・クロスファイア(準備), @戦闘アニメ_デフォルト攻撃 Reload.wav;2;@戦闘アニメ_デフォルト攻撃 Reload.wav;2;@戦闘アニメ_デフォルト攻撃 Reload.wav;2;@戦闘アニメ_デフォルト攻撃 Reload.wav;2;発光 白 Sword.wav
Ｇ・クロスファイア(攻撃), キャノン砲 8 Bazooka.wav;ミサイル 8
Ｇ・クロスファイア(命中), MicroMissile.wav;連続大爆発 4 -.wav;連続大爆発 4 -.wav;@戦闘アニメ_持続ビーム攻撃 青;大爆発 BeamCannon.wav
Ｇ・クロスファイア(解説), $(ユニット)はジェノサイド・クロスファイアで攻撃をかけた。
Ｄトルネードクラッシャー(準備), ドリル;粒子集中 赤 Drill.wav;粒子集中 赤 Drill.wav;3;ドリル Storm.wav
Ｄトルネードクラッシャー(攻撃), 刺突 Storm.wav;旋風 -.wav
Ｄトルネードクラッシャー(命中), 超打 Storm.wav;旋風 -.wav
Ｄトルネードクラッシャー(解説), $(ユニット)はドリル・トルネード・クラッシャーで攻撃をかけた。
ＤＴクラッシュアッパー(準備), ドリル;粒子集中 赤 Drill.wav;粒子集中 赤 Drill.wav;3;ドリル Storm.wav
ＤＴクラッシュアッパー(攻撃), アッパー Storm.wav
ＤＴクラッシュアッパー(命中), アッパー Crash.wav;竜巻 Crash.wav
ＤＴクラッシュアッパー(解説), $(ユニット)はドリル・トルネード・クラッシュ・アッパーで攻撃をかけた。
アトランティスストライク(準備), 光噴出 黄 Charge.wav
アトランティスストライク(攻撃), スーパーキック 黄
アトランティスストライク(命中), スーパーキック 黄 Explode(High).wav
アトランティスストライク(解説), $(ユニット)はアトランティス・ストライクで攻撃をかけた。
我、埋葬にあたわず<拡散>(準備), 粒子集中 緑
我、埋葬にあたわず<拡散>(攻撃), 拡散ビーム 緑
我、埋葬にあたわず<拡散>(命中), 拡散ビーム 緑 Beam.wav
我、埋葬にあたわず(準備), 粒子集中 緑
我、埋葬にあたわず(攻撃), 中ビーム 緑
我、埋葬にあたわず(命中), 中ビーム 緑
破壊ビーム(攻撃), 持続ビーム 青
破壊ビーム(命中), 光噴出 青 Slash.wav;大爆発 BeamCannon.wav
Ｈ・Ｄ・Ｌ・Ｏ・Ｄ(準備), 光球放出 赤 Warning(2).wav;光球放出 赤 -.wav;光球放出 赤 -.wav
#Ｈ・Ｄ・Ｌ・Ｏ・Ｄ(準備), 変形 DMD_SuperWestRobo28SP(DrillHead)(NoArm).bmp Drill.wav;光球放出 赤 Warning(2).wav;光球放出 赤 -.wav;光球放出 赤 -.wav
Ｈ・Ｄ・Ｌ・Ｏ・Ｄ(攻撃), 地面衝撃 -.wav 対象ユニットＩＤ;スーパーダイブ 赤 Bazooka.wav
Ｈ・Ｄ・Ｌ・Ｏ・Ｄ(命中), スーパーダイブ 赤 Crash.wav;透明化 対象ユニットＩＤ 反映;フラッシュ Flair.wav;5;超大爆発 赤 Explode(Nuclear).wav
Ｈ・Ｄ・Ｌ・Ｏ・Ｄ(解説), $(ユニット)はハイパー・ドリル・ロケット・オーバードライブで攻撃をかけた。
スレッジハンマー, ハンマー
巨腕, 打突
呪縛の魔法陣(準備), @戦闘アニメ_デフォルト攻撃 Reload.wav
呪縛の魔法陣(攻撃), @戦闘アニメ_発光準備 青
呪縛の魔法陣(命中), ホーミングレーザー 青 Whip.wav;魔法陣 青 BeamSaber.wav


旧支配者
触腕(黒), 触手 黒
邪神の吐息, ＭＡＰフラッシュ
触腕, 触手 白
大海嘯, 津波
魔眼(準備), -
魔眼(攻撃), @戦闘アニメ_邪眼解放準備 EvilEye.wav;フラッシュ 白
魔眼(命中), 発光 白 Glass.wav;超打 -.wav
瘴気(準備), -
瘴気(攻撃), 火炎弾 紫 Breath.wav
瘴気(命中), 煙 紫 Breath.wav
ヨグ＝ソトース招喚(準備), 粒子集中 赤 Splash.wav;光噴出 赤 -.wav
ヨグ＝ソトース招喚(攻撃), 回転斬撃;@戦闘アニメ_魔法陣準備 白;光打ち上げ 白 Glass.wav
ヨグ＝ソトース招喚(命中), @戦闘アニメ_光打ち下ろし攻撃 白 Whiz.wav;邪眼解放 大 Flash.wav;フラッシュ 黒 Breath.wav
ヨグ＝ソトース招喚(とどめ), 重力圧縮;邪眼閉塞 大
#原作だと門が開かれた時点で終了のため半ば捏造。扉に吸い込まれるイメージ。
翼竜の群れ(準備), 周囲回転 "Creature\EFFECT_SuspectBird01.bmp" 32 Whiz.wav;四刀流 "Creature\EFFECT_SuspectBird01.bmp" 32
#翼竜の群れ(準備), 周囲回転 Info(ユニットデータ,ズアウィアの眷属,グラフィック) 32 Whiz.wav;四刀流 Info(ユニットデータ,ズアウィアの眷属,グラフィック) 32
翼竜の群れ(攻撃), 実弾連射 "Creature\EFFECT_SuspectBird01.bmp" 32 Whiz.wav
#翼竜の群れ(攻撃), 実弾連射 Info(ユニットデータ,ズアウィアの眷属,グラフィック) 32 Whiz.wav
翼竜の群れ(命中), 乱突 Crash.wav
鉤爪(準備), 
鉤爪(攻撃), 打撃突撃 -.wav;斬撃 赤 AntiAirMissile.wav
鉤爪(命中), 爪撃 赤 Crash.wav

魔物
ブリザード, 吹雪
氷の抱擁, スーパータックル 白
プラズマ, スーパータックル 赤
脚部スパイク(攻撃), 触手 赤
脚部スパイク(命中), 触手 赤 Stab.wav
熱線砲, 中ビーム ピンク
触手, 多触手 赤
呪力弾(準備), 魔法陣 白
呪力弾(攻撃), 気弾 黒 Bazooka.wav
呪力弾(命中), 大爆発 黒 Shock(Low).wav
くちばし(攻撃), タックル
くちばし(命中), 刺突 Crash.wav

移動要塞『夢幻心母』
破壊ロボ軍団(準備), -
破壊ロボ軍団(攻撃), サブマシンガン Info(ユニットデータ,量産型破壊ロボ,グラフィック)
破壊ロボ軍団(命中), 機関砲
触腕, 多触手 黒

魔術師
ガトリングガン(準備), 発光 白 Transform.wav
ガトリングガン(攻撃), 内蔵チェーンガン 白 Beam(8Shot).wav
ガトリングガン(命中), 内蔵チェーンガン 白 Beam(8Shot).wav;大爆発 白 -.wav
ヘヴンズ・セイバー(準備), ビームソード 白 二刀流
ヘヴンズ・セイバー(攻撃), ビームソード突撃 白 二刀流 FlyBy(High).wav
ヘヴンズ・セイバー(命中), 光斬撃 中 白 二刀流 Glass.wav
ビームカノン(準備), 発光 白 Transform.wav;1;粒子集中 白
ビームカノン(攻撃), 中ビーム 白 BeamGun.wav
ビームカノン(命中), 中ビーム 白 BeamGun.wav
スラッシュ・クロス(準備), ビームソード 白 二刀流;発光 白 Sword.wav
スラッシュ・クロス(攻撃), スーパータックル 白 Storm.wav
スラッシュ・クロス(命中), スーパータックル 白 Slash(4).wav;2;大斬撃 白 二刀流 Crash.wav
スラッシュ・クロス(とどめ), 決め文字 † 白 BeamSaber.wav 前面;1;@戦闘アニメ_炎命中 白
クロス・ファイア(準備), @戦闘アニメ_デフォルト攻撃 Transform.wav;2;@戦闘アニメ_デフォルト攻撃 Transform.wav;2;@戦闘アニメ_デフォルト攻撃 Transform.wav;2;@戦闘アニメ_デフォルト攻撃 Transform.wav;4;粒子集中 白 Charge(High).wav;粒子集中 白 -.wav;発光 白 -.wav
クロス・ファイア(攻撃), ＭＡＰビーム 白 MicroMissile.wav
クロス・ファイア(命中), 大拡散ビーム 白 Beam.wav
ヴァニッシュ・クロス(準備), ビームソード 白 二刀流;粒子集中 白 Charge(High).wav;オーラ上昇 白 -.wav
ヴァニッシュ・クロス(攻撃), 瞬間変形 Anime\Bullet\EFFECT_BeamRingCutter(White)01.bmp 対象ユニットＩＤ 反映;スーパーダイブ 白 Drill.wav
ヴァニッシュ・クロス(命中), 透明化 対象ユニットＩＤ 反映;スーパーダイブ 白 Storm.wav;瞬間変形 対象ユニットＩＤ;透明化 対象ユニットＩＤ 反映;フラッシュ 白 -.wav;4;大斬撃 白 二刀流 Crash.wav;超斬撃 白 -.wav
ヴァニッシュ・クロス(とどめ), 透明化 対象ユニットＩＤ 解除;決め文字 † 白 BeamSaber.wav 前面;1;@戦闘アニメ_炎の壁命中 白  FlameThrower.wav
格闘(準備), オーラ上昇 黒 Charge(High).wav
格闘(攻撃), スーパータックル 黒 Shock(Low).wav
格闘(命中), MultipleRocketLauncher(Light).wav;@戦闘アニメ_連打攻撃 -.wav;@戦闘アニメ_連打攻撃 -.wav;点乱打 黒 Bazooka.wav;超打 Bazooka.wav
#乱打
格闘(命中), @戦闘アニメ_打撃突撃攻撃 Walk(Snow).wav;@戦闘アニメ_打突攻撃 Shock(Low).wav;2;超打 Crash.wav
#正拳突き
格闘(命中), @戦闘アニメ_打撃突撃攻撃 Walk(Snow).wav;@戦闘アニメ_刺突攻撃 Swing(2).wav;2;大刺突 黒 Glass.wav
#貫手
格闘(クリティカル), @戦闘アニメ_粒子集中準備 黒 Roar.wav;@戦闘アニメ_光噴出準備 黒 -.wav;2;@戦闘アニメ_転移 Swing(2).wav;透明化 対象ユニットＩＤ 反映;@戦闘アニメ_旋風命中 黒 Bazooka(8Shot).wav;@戦闘アニメ_超打命中 -.wav
#黒い暴風、黒い嵐と例えられた連続攻撃
気弾(準備), 粒子集中 黒
気弾(攻撃), 打撃突撃 -.wav;打突 Walk(Snow).wav;1;実弾発射 "Bullet\EFFECT_AuraBall(Black)01.bmp" 32 Bazooka.wav 発光
気弾(命中), 点打 黒 Shock(Low).wav
気弾(クリティカル), @戦闘アニメ_オーラ上昇準備 黒;1;@戦闘アニメ_実弾乱射攻撃 "Bullet\EFFECT_AuraBall(Black)02.bmp" 40 Bazooka.wav 発光;2;@戦闘アニメ_点乱打命中 黒 Shock(Low).wav
突撃(準備), @戦闘アニメ_デフォルト攻撃 Engine.wav;3;@戦闘アニメ_デフォルト攻撃 -.wav;3;@戦闘アニメ_デフォルト攻撃 -.wav
突撃(攻撃), スーパータックル 白 AntiShipMissile.wav
突撃(命中), スーパータックル 白 Crash.wav
忌まわしき狩人(準備), 粒子集中 白 Charge(High).wav;粒子集中 白 -.wav;発光 白 -.wav
忌まわしき狩人(攻撃), スーパータックル 白 MicroMissile.wav
忌まわしき狩人(命中), 透明化 対象ユニットＩＤ 反映;Warship(8Shot).wav;超ビーム 白 -.wav;大爆発 白 Crash.wav
忌まわしき狩人(とどめ), 貫通穴 Shock(Low).wav

サンダルフォンｏｎハンティング・ホラー
忌まわしき狩人(準備), 粒子集中 黒 Interference.wav;粒子集中 黒 -.wav;粒子集中 黒 -.wav;光大噴出 黒 -.wav
忌まわしき狩人(攻撃), スーパータックル 黒 Roar.wav
忌まわしき狩人(命中), 透明化 対象ユニットＩＤ 反映;Warship(8Shot).wav;超ビーム 黒 -.wav;超大爆発 黒 HyperExplode.wav


#### 専用指定

九郎＆アル専用鬼械神デモンベイン
零距離銃舞(準備), -
零距離銃舞(攻撃), @戦闘アニメ_振る武器粒子集中召喚準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;会話 アル＝アジフ(怒り) "断鎖術式壱号ティマイオス！ 弐号クリティアス！" 固定;@戦闘アニメ_光噴出準備 緑 Charge.wav;1;急降下 Bazooka.wav
零距離銃舞(命中), 急降下 Shock(Low).wav;@戦闘アニメ_別武器二丁拳銃準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;会話 大十字九郎(真剣) "――散華しろ" 固定;@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;点乱打 黄 Crash.wav;会話 大十字九郎(思考) "アトランティス――" 固定;@戦闘アニメ_スーパーキック攻撃 緑;会話 大十字九郎＆アル＝アジフ "ストラァァァァイク！" 固定;スーパーキック 緑 Explode(High).wav
零距離銃舞(攻撃), @戦闘アニメ_振る武器粒子集中召喚準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;会話 大十字九郎(回避) "断鎖術式壱号ティマイオス、弐号クリティアス！" 固定;@戦闘アニメ_光噴出準備 緑 Charge.wav;1;急降下 Bazooka.wav
零距離銃舞(命中), 急降下 Shock(Low).wav;@戦闘アニメ_別武器二丁拳銃準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;会話 大十字九郎(真剣) "――散華しろ" 固定;@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;点乱打 黄 Crash.wav;会話 大十字九郎(思考) "アトランティス……" 固定;@戦闘アニメ_スーパーキック攻撃 緑;会話 大十字九郎(叫び) "ストライクッ！" 固定;スーパーキック 緑 Explode(High).wav
輝くトラペゾヘドロン(攻撃), 会話 アル＝アジフ(怒り) "我は光　夜道を這う旅人に灯す　命の煌き" 固定;回転斬撃;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Swing.wav;会話 大十字九郎(真剣) "我は闇　染まらぬ揺らがぬ迷わぬ　不変と愛" 固定;なぎ払い;振り下ろし;なぎ払い;1;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Slash(4).wav;会話 大十字九郎＆アル＝アジフ "その切実なる命の叫びを胸に" 固定;会話 大十字九郎＆アル＝アジフ "祝福の華に誓って" 固定;会話 大十字九郎＆アル＝アジフ "――我は世界を紡ぐ者なり！" 固定;@戦闘アニメ_ユニット変色準備 イエロー Flash.wav;振る武器突撃 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光


旧神九郎＆旧神アル専用鬼械神デモンベイン
零距離銃舞(準備), -
零距離銃舞(攻撃), @戦闘アニメ_振る武器粒子集中召喚準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;会話 アル＝アジフ(旧神) "断鎖術式壱号ティマイオス！ 弐号クリティアス！" 固定;@戦闘アニメ_光噴出準備 緑 Charge.wav;1;急降下 Bazooka.wav
零距離銃舞(命中), 急降下 Shock(Low).wav;@戦闘アニメ_別武器二丁拳銃準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;会話 大十字九郎(旧神) "――散華しろ" 固定;@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;点乱打 黄 Crash.wav;会話 大十字九郎(旧神) "アトランティス――" 固定;@戦闘アニメ_スーパーキック攻撃 緑;会話 大十字九郎(旧神)＆アル＝アジフ(旧神) "ストラァァァァイク！" 固定;スーパーキック 緑 Explode(High).wav
零距離銃舞(攻撃), @戦闘アニメ_振る武器粒子集中召喚準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;会話 大十字九郎(旧神) "断鎖術式壱号ティマイオス、弐号クリティアス！" 固定;@戦闘アニメ_光噴出準備 緑 Charge.wav;1;急降下 Bazooka.wav
零距離銃舞(命中), 急降下 Shock(Low).wav;@戦闘アニメ_別武器二丁拳銃準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;会話 大十字九郎(旧神) "――散華しろ" 固定;@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;点乱打 黄 Crash.wav;会話 大十字九郎(旧神) "アトランティス……" 固定;@戦闘アニメ_スーパーキック攻撃 緑;会話 大十字九郎(旧神) "ストライクッ！" 固定;スーパーキック 緑 Explode(High).wav
輝くトラペゾヘドロン(攻撃), 会話 アル＝アジフ(旧神) "我は光　夜道を這う旅人に灯す　命の煌き" 固定;回転斬撃;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Swing.wav;会話 大十字九郎(旧神) "我は闇　染まらぬ揺らがぬ迷わぬ　不変と愛" 固定;なぎ払い;振り下ろし;なぎ払い;1;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Slash(4).wav;会話 大十字九郎(旧神)＆アル＝アジフ(旧神) "その切実なる命の叫びを胸に" 固定;会話 大十字九郎(旧神)＆アル＝アジフ(旧神) "祝福の華に誓って" 固定;会話 大十字九郎(旧神)＆アル＝アジフ(旧神) "――我は世界を紡ぐ者なり！" 固定;@戦闘アニメ_ユニット変色準備 イエロー Flash.wav;振る武器突撃 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光

マスターテリオン専用鬼械神リベル・レギス
天狼星の弓・セト(命中), 魔法陣 黄 BeamSaber.wav;_
会話 マスターテリオン "悪神セト、蹂躙せよ" 固定;@戦闘アニメ_オーラ上昇準備 黒;@戦闘アニメ_射撃武器変形準備 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 "Fire\EFFECT_DragonFire_S(Black)01.bmp" 48 Shock(Low).wav;_
会話 マスターテリオン(攻撃) "……侵せ。" 固定;@戦闘アニメ_火炎放射器攻撃 "Fire\EFFECT_DragonFire_S(Black)01.bmp" 48 オレンジ Breath.wav;_
会話 マスターテリオン(攻撃) "……侵せ。 犯せ！" 固定;火炎放射器 オレンジ Breath.wav;_
会話 マスターテリオン(攻撃) "……侵せ。 犯せ！ 冒せぇぇぇ！" 固定;@戦闘アニメ_伸縮武器攻撃 "Fire\EFFECT_DragonFire_S(Black)[01-03].bmp" 48 MicroMissile.wav;超ビーム 黒 -.wav

テリオン＆エセル専用鬼械神リベル・レギス
天狼星の弓・セト(命中), 魔法陣 黄 BeamSaber.wav;_
会話 ナコト写本の精霊エセルドレーダ(攻撃) "我は狗、我は蛇、我は弓、我は星……" 固定;会話 マスターテリオン "悪神セト、蹂躙せよ" 固定;@戦闘アニメ_オーラ上昇準備 黒;@戦闘アニメ_射撃武器変形準備 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 "Fire\EFFECT_DragonFire_S(Black)01.bmp" 48 Shock(Low).wav;_
会話 マスターテリオン(攻撃) "……侵せ。" 固定;@戦闘アニメ_火炎放射器攻撃 "Fire\EFFECT_DragonFire_S(Black)01.bmp" 48 オレンジ Breath.wav;_
会話 マスターテリオン(攻撃) "……侵せ。 犯せ！" 固定;火炎放射器 オレンジ Breath.wav;_
会話 マスターテリオン(攻撃) "……侵せ。 犯せ！ 冒せぇぇぇ！" 固定;@戦闘アニメ_伸縮武器攻撃 "Fire\EFFECT_DragonFire_S(Black)[01-03].bmp" 48 MicroMissile.wav;超ビーム 黒 -.wav
輝くトラペゾヘドロン(攻撃), 会話 ナコト写本の精霊エセルドレーダ(攻撃) "我は闇　重き枷となりて路を奪う　死の漆黒" 固定;回転斬撃;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Swing.wav;会話 マスターテリオン "我は光　眸を灼く己を灼く世界を灼く　熾列と憎悪" 固定;なぎ払い;振り下ろし;なぎ払い;1;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Slash(4).wav;会話 マスターテリオン＆エセルドレーダ "その深き昏き怨讐を胸に" 固定;会話 マスターテリオン＆エセルドレーダ "埋葬の華に誓って" 固定;会話 マスターテリオン＆エセルドレーダ "――我は世界を紡ぐ者なり！" 固定;@戦闘アニメ_オーラ上昇準備 黄 Flash.wav;2;振る武器突撃 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光
#捏造気味ですがリベル・レギス側もトラペゾ詠唱追加。気に入らない場合は削除してやってください。

鬼械神皇餓(二刀流)
鎌居太刀(準備), 野太刀 二刀流 Reload(2).wav
鎌居太刀(攻撃), なぎ払い;シュートカッター 白 AntiAirMissile.wav
鎌居太刀(命中), シュートカッター 白 Slash(4).wav
紅桜(準備), 野太刀 二刀流 Reload(2).wav
紅桜(攻撃), 連続なぎ払い Swing(2).wav
紅桜(命中), 連続なぎ払い Slash(4).wav

ティトゥス専用鬼械神皇餓
必殺剣・羅刹(命中), なぎ払い Slash(4).wav;@戦闘アニメ_斬撃攻撃 二刀流;唐竹割り Shock(Low).wav;地面衝撃 -.wav;@戦闘アニメ_オーラ上昇準備 黄 Charge(High).wav;@戦闘アニメ_粒子集中準備 黄 -.wav;@戦闘アニメ_振る武器準備 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 BeamSaber(5).wav;@戦闘アニメ_突く武器急降下攻撃 "LightWeapon\EFFECT_LightGiantSword(Yellow)02.bmp" 80 AntiAirMissile.wav;0;会話 アンチクロス・ティトゥス "必殺剣――羅刹！" 固定;突く武器急降下 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 Glass.wav;超大爆発 黄 Explode(Nuclear).wav
剣舞・阿修羅(命中), 刺突 Slash(4).wav;@戦闘アニメ_四刀流準備 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav;MicroMissile.wav;@戦闘アニメ_斬撃乱舞攻撃 -.wav;@戦闘アニメ_乱突攻撃 -.wav;斬撃乱舞 Slash(4).wav;乱突 Stab.wav;_
会話 アンチクロス・ティトゥス "――ハァッ！ 御命頂戴！" 固定;@戦闘アニメ_四刀流突撃攻撃 "Weapon\EFFECT_Nodachi01.bmp" 40 AntiAirMissile.wav;大斬撃 二刀流 -.wav;超斬撃 Crash.wav
剣舞・阿修羅(命中), 刺突 Slash(4).wav;@戦闘アニメ_四刀流準備 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav;MicroMissile.wav;@戦闘アニメ_斬撃乱舞攻撃 -.wav;@戦闘アニメ_乱突攻撃 -.wav;斬撃乱舞 Slash(4).wav;乱突 Stab.wav;_
会話 アンチクロス・ティトゥス "その首、もらったァッ！" 固定;@戦闘アニメ_四刀流突撃攻撃 "Weapon\EFFECT_Nodachi01.bmp" 40 AntiAirMissile.wav;大斬撃 二刀流 -.wav;超斬撃 Crash.wav

ティトゥス専用鬼械神皇餓(二刀流)
鎌居太刀(準備), 野太刀 二刀流 Reload(2).wav
鎌居太刀(攻撃), なぎ払い;シュートカッター 白 AntiAirMissile.wav
鎌居太刀(命中), シュートカッター 白 Slash(4).wav
紅桜(準備), 野太刀 二刀流 Reload(2).wav
紅桜(攻撃), 連続なぎ払い Swing(2).wav
紅桜(命中), 連続なぎ払い Slash(4).wav
