
リリカルなのは
##なのは##
攻撃無効化(プロテクション), バリア Flair.wav プロテクション
バスタービームランチャー 青 EFFECT_NANOHA_S2U2.bmp 48
ブレイズキャノン(命中), 超ビーム 青
スティンガーブレイドＥＳ(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
スティンガーブレイドＥＳ(攻撃), 拡散ビームライフル 青 BeamShot.wav EFFECT_NANOHA_S2U2.bmp 48;_
拡散ビームライフル 青 BeamShot.wav EFFECT_NANOHA_S2U2.bmp 48
スティンガーブレイドＥＳ(命中), 拡散ビーム 青 Slash.wav;超爆発 Explode(Far).wav

クロノ＝ハラオウン・デュランダル装備
攻撃無効化(ラウンドシールド), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 Flair.wav 発光 ラウンドシールド
ストラグルバインド(準備), ミッド式魔法陣 Hittyuu.wav 青 背面
ストラグルバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 青 Whiz.wav
ストラグルバインド(命中), ホーミングレーザー 青 BeamCoat.wav;粒子噴射 Interference.wav 青
ディレイドバインド(準備), ミッド式魔法陣 Hittyuu.wav 青 背面
ディレイドバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 青 Whiz.wav
ディレイドバインド(命中), ホーミングレーザー 青 BeamCoat.wav
スティンガーレイ(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
スティンガーレイ(攻撃), レーザーマシンガン 青 EFFECT_NANOHA_Durandal2.bmp 48
スティンガーレイ(命中), ニードルレーザー連射 青
スティンガースナイプ(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
スティンガースナイプ(攻撃), 拡散ビームライフル 青 EFFECT_NANOHA_Durandal2.bmp 48
スティンガースナイプ(命中), ホーミングレーザー 青 ランダム方向
ブレイクインパルス(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
ブレイクインパルス(攻撃), @戦闘アニメ_急降下攻撃共通 EFFECT_NANOHA_Durandal.bmp
ブレイクインパルス(命中), @戦闘アニメ_急降下命中共通 EFFECT_NANOHA_Durandal.bmp;連続爆発 (Random(3) + 3)
ブレイズキャノン(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
ブレイズキャノン(攻撃), 10;粒子集中 青 Charge(2).wav 対象ユニットＩＤ;_
バスタービームランチャー 青 EFFECT_NANOHA_Durandal2.bmp 48
ブレイズキャノン(命中), 超ビーム 青
スティンガーブレイドＥＳ(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
スティンガーブレイドＥＳ(攻撃), 拡散ビームライフル 青 BeamShot.wav EFFECT_NANOHA_Durandal2.bmp 48;_
拡散ビームライフル 青 BeamShot.wav EFFECT_NANOHA_Durandal2.bmp 48
スティンガーブレイドＥＳ(命中), 拡散ビーム 青 Slash.wav;超爆発 Explode(Far).wav
エターナルコフィン(攻撃), -

使い魔アルフ
攻撃無効化(ラウンドシールド), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Orange)01.bmp 32 Flair.wav 発光 ラウンドシールド
チェーンバインド(準備), ミッド式魔法陣 Hittyuu.wav 橙 背面
チェーンバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Orange)01.bmp 32 橙 Whiz.wav
チェーンバインド(命中), ホーミングレーザー 橙 BeamCoat.wav
フォトンランサー(準備), ミッド式魔法陣 Hittyuu.wav 橙 背面
フォトンランサー(攻撃), 中ビーム 橙 Thunder.wav
フォトンランサー(命中), 中ビーム 橙

使い魔リニス
攻撃無効化(ラウンドシールド), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Yellow)01.bmp 32 Flair.wav 発光 ラウンドシールド
フォトンランサー(準備), 粒子集中 Hittyuu.wav 黄
フォトンランサー(攻撃), 拡散ビーム 黄 
フォトンランサー(命中), 拡散ビーム 黄
サンダースマッシャー(準備), 射撃武器 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Yellow)01.bmp Hittyuu.wav
サンダースマッシャー(攻撃), ビームランチャー 黄 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Yellow)01.bmp 48 Thunder.wav
サンダースマッシャー(命中), 中ビーム 黄

剣の騎士シグナム
攻撃無効化(パンツァーシルト), シールド防御 Anime\Magic\EFFECT_NANOHA_BerkaMagicEmblem(Purple)01.bmp 48 Flair.wav 発光 パンツァーシルト

鉄槌の騎士ヴィータ
攻撃無効化(パンツァーシルト), シールド防御 Anime\Magic\EFFECT_NANOHA_BerkaMagicEmblem(Red)01.bmp 48 Flair.wav 発光 パンツァーシルト

盾の守護獣ザフィーラ
攻撃無効化(障壁魔法), シールド防御 Anime\Magic\EFFECT_NANOHA_BerkaMagicEmblem(White)01.bmp 48 Flair.wav 発光 防御魔法

闇の書の意志
攻撃無効化(パンツァーシルト), シールド防御 Anime\Magic\EFFECT_NANOHA_BerkaMagicEmblem(Black)01.bmp 48 Flair.wav 発光 パンツァーシルト
スターライトブレイカー(準備), 振る武器 EFFECT_NANOHA_IllegalWriting(Open).bmp Page.wav
スターライトブレイカー(攻撃), -
スターライトブレイカー(命中), 巨大ビーム Explode(Far).wav;連続大爆発 6

闇の書の闇
噛み付き, 噛み付き

武装局員
攻撃無効化(ラウンドシールド), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 Flair.wav 発光 ラウンドシールド
チェーンバインド(準備), ミッド式魔法陣 Hittyuu.wav 青 背面
チェーンバインド(攻撃), 拡散ビームライフル EFFECT_NANOHA_ArmedMemberCane.bmp 32 青 Whiz.wav
チェーンバインド(命中), ホーミングレーザー 青 BeamCoat.wav

汎用
攻撃無効化(サークルプロテクション), バリア BeamCoat.wav サークルプロテクション
デュランダル(準備), 振る武器 EFFECT_NANOHA_Durandal(WaitMode).bmp 32 Page.wav;_
振る武器 EFFECT_NANOHA_Durandal.bmp Reload(4).wav 32
デュランダル(攻撃), 振る武器突撃 EFFECT_NANOHA_Durandal.bmp 32
デュランダル(命中), @戦闘アニメ_白兵武器攻撃;ダメージ FightHit(2).wav
エターナルコフィン(準備), 振る武器 EFFECT_NANOHA_Durandal.bmp Reload(4).wav 32
エターナルコフィン(攻撃), @戦闘アニメ_ミッド式魔法陣準備 白 背面 Hittyuu.wav;ＭＡＰ吹雪
エターナルコフィン(命中), 吹雪 Glass.wav
エターナルコフィン(クリティカル), @戦闘アニメ_発光命中 青 Glass.wav;凍結
