### 銀河連邦警察 --------------------------------------------------------

宇宙刑事ギャバン
蒸着, -
ダメージ小(対宇宙刑事ギャバン), どうしたギャバン！！
ダメージ小(対宇宙刑事ギャバン), ギャバンが現れたぁ！！
ダメージ中, おのれ！！
ダメージ中, やっ！？ おのれ！
ダメージ中, 憎い～！！
ダメージ中, 貴様ぁ！！
ダメージ中, こしゃくな！
ダメージ中, 貴様っ、許さん！
ダメージ中, 貴様ぁ！ ただではおかんぞ！
ダメージ中(対宇宙刑事ギャバン), おのれギャバン！！
ダメージ中(対宇宙刑事ギャバン), おのれっ、ギャバンめ！
ダメージ大, おのれぇぇ！！
ダメージ大, ぬううう、なんたることだ！
ダメージ大, 貴様、何者だ！？
ダメージ大, うわぁぁぁーーっ！！
ダメージ大, ぐわぁっ！！
ダメージ大, お、おのれぇぇっ！
ダメージ大, ぐおおおっ！？ つ、強い！！
ダメージ大(対宇宙刑事ギャバン), おぉのれギャバン！ わしは負けはしない！
ダメージ大(対宇宙刑事ギャバン), おぉのれぇぇギャバン！！
破壊, うおおおおっ！！？
破壊, ううううおっ！？
破壊, ギャアアァァァーーッ！！！
破壊(アオガメダブラー), ああぁ！？ 乙姫様ぁぁーーっ！！！
射程外, 誰だぁぁ！！
射程外, 逃がすなぁ！！
射程外, ぬ！？ 逃がさんぞ！
射程外, ぬぅぅ、逃がすなぁぁ！！
射程外, おのれ逃がすもんか！ 探せ探せ！
射程外, さあもっと来い！ もっとこっちへ寄って来い！
射程外(対宇宙刑事ギャバン), 逃げるかギャバン！ 卑怯者！！
射程外(対宇宙刑事ギャバン), 出て来いギャバン！ わしと勝負しろ！
攻撃, ダブルモンスター！！
攻撃, ぬあぁぁーーっ！！
攻撃, よぉーし！
攻撃, くらえっ！！
攻撃, 勝負しろ！
攻撃, 血祭りにあげてやる！
攻撃, 早く片付けてしまえ！
攻撃, わしが勝つ！
攻撃, 思い知らせてやる！
攻撃(サイダブラー), 腹が減ったぞ！ 牛だ、牛が食いたい！
攻撃(ミツバチ毒針), ミツバチ毒針！！
攻撃(サーベルダブラー), 我、勝てり！！
攻撃(サーベルダブラー), 切り裂いてやる！！
攻撃(ジャアクダブラー), 邪悪はマクーの未来！ 邪悪こそマクーの未来！！
攻撃(対宇宙刑事ギャバン), ギャバン！ 今日こそお前を引きちぎってやる！
攻撃(対宇宙刑事ギャバン), 勝負だ！ ギャバン！！
攻撃(対宇宙刑事ギャバン), いよいよ最期の時が来たな、ギャバン！
攻撃(対宇宙刑事ギャバン), これでギャバンも一巻の終わりだ。ハハハ！！
攻撃(対宇宙刑事ギャバン), ギャバンめを血祭りに上げる瞬間がきた！
攻撃(対宇宙刑事シャリバン), シャリバン覚悟！！
攻撃(対宇宙刑事シャイダー), 地獄へ落ちろシャイダー！
攻撃(対宇宙刑事アラン), 来おったなアラン！
大貝挟み, 大貝挟み！ それぇ！！
亀甲パワー, 亀甲パワー！！
アオガメブーメラン, アオガメブーメラン！！
ショルダーバズーカ, ショルダーバズーカ！！
キョウリュウアロー, キョウリュウアロー！！
麻酔針, 人間どもは蜂の一刺しで、ミツバチ中毒患者になる！
麻酔針, 人間どもは蜂の一刺しでみんなミツバチ中毒患者！
麻酔針, マクーの奴隷になるのだ！
麻酔針, ハニー作戦よ！
麻酔針, まあ見ててごらんよ！
麻酔針(クリティカル), さあ踊って！ 踊ればこの世は天国！
麻酔針(クリティカル), さあ踊って！ ダンシィ～～ング！！
麻酔針(クリティカル), さ～あ、踊って踊ってぇ～！
麻酔針(クリティカル), フィーバー！！
麻酔針(クリティカル), フィーバー！ ダンシィーング！！
恨みの五寸釘, ああ、恨みだ！ 恨みだ！ 恨みだ！ 地獄へ落ちろ！！
恨みの五寸釘, この写真に恨みの釘を叩きつければ、その痛みは直接奴に通じる！
恨みの五寸釘, じわじわと、長年の恨みを晴らしながらとどめを刺すのだ！
恨みの五寸釘(対宇宙刑事ギャバン), 恨みのギャバンだぁぁ！！
サポートアタック, 待ぁぁてぇぇーっ！！
サポートアタック, わしもやらねば！
サポートアタック, では、とどめは私が！
サポートアタック, されば、今一度！



ダブルガール(ザコ)
回避, ホホホホホホ！
回避, ヒヒヒヒヒヒ！
ダメージ小, キィィッ！
ダメージ中, キキィィィッ！
ダメージ大, キキキィィィィィッ！
破壊, エェァァーーッ！！！
射程外, …………
攻撃, ホホホホホホ！
攻撃, ヒヒヒヒヒヒ！


### その他 --------------------------------------------------------

魔女モニカ
回避, 来る…！
回避, ハハハハハハ！ どうした！
回避, 身体が軽い！ 命の花の力だ！
回避, 300年前の私は無敵の殺し屋だったのだ！
ダメージ小, ふざけたことを！
ダメージ小, 悪あがきはよすことだな！
ダメージ小, お前などに倒される私ではない！
ダメージ小, なんだそれは……情けのつもりか！
ダメージ中, お前たちに何がわかる…！
ダメージ中, ええいっ！？ こんなことでは！
ダメージ中, おのれ！ 少しはやるようだな！
ダメージ中, うっ！？ ……それでこそ私が殺すべきターゲットだ！
ダメージ大, ああっ！？ バカな！？
ダメージ大, 命の花の効果もこれまでか…！
ダメージ大, ここまで苦しめられたのは初めてだ…！
ダメージ大, 負けるものか…！ 私は宇宙の魔女モニカだ！！
ダメージ大(対宇宙刑事ギャバン), 愛……私はずっと……ずっと昔に……そんなものは忘れてしまった……
破壊, さよなら……ギャバン！！
破壊(対宇宙刑事ギャバン), 私はあなたに、愛の大切さを教えられた…….もう何も思い残すことはない……
射程外, くそっ！ ならばこちらから近づくだけのこと！
射程外, こしゃくな真似を……魔女モニカから逃げられた者はいない！
攻撃, うああぁぁぁぁ！！！
攻撃, でやぁぁーーっ！！
攻撃, 私は魔女と言われようと女殺し屋と言われようと、私の前に立ち塞がる者は倒す！
攻撃, 覚悟っ！！
攻撃, 死んでもらう！
攻撃, これが最後だ！
攻撃, お前の命、魔女モニカがいただいた！
攻撃(対宇宙刑事), この命、マクーにやろう！
攻撃(対宇宙刑事), 私は宇宙刑事が大嫌いなんだ！！
攻撃(対宇宙刑事), 私は……正義面をする宇宙刑事が大嫌いなんだよ！！
攻撃(対宇宙刑事ギャバン), ここは宇宙刑事ギャバンの墓場よ！
攻撃(対宇宙刑事ギャバン), ギャバンの命は私がもらった！
攻撃(対宇宙刑事ギャバン), お前が宇宙刑事ギャバンか！
攻撃(対ドクターポルター), お前だけは許さんぞ！ ドクターポルター！
サポートアタック(宇宙犯罪組織マクー), 私はドン・ホラーから直接仕事を依頼されたのだ！ 余計な口出しはするな！



暗黒銀河女王
回避, うっはははははははは！！
回避, 何をしようが結果は同じこと
回避, ふん！ あたしに逆らうとは愚かな奴！
回避, あっははははは！！ お前たちに出来るかな！？
回避, あぁ～……なんと気分のいいことよ
回避(対宇宙刑事), さあ。どうする宇宙刑事よ？
攻撃無効化, 邪魔できると思ってるのかい？
ダメージ小, はははははははは！！
ダメージ小, せいぜい頑張ることだね。あっははははは！
ダメージ小, まあせいぜい、私を楽しませておくれ。あはははははははは！！
ダメージ小, まあ、時間稼ぎぐらいにはなったかねえ？
ダメージ小, それで勝てると思ってるのかい？
ダメージ小(対宇宙刑事), このままだと、本当にバード星が、この世から消えてしまうぞ？
ダメージ小(対宇宙刑事ギャバン), 無駄だよギャバン。さっさとあきらめることだね
ダメージ小(対宇宙刑事シャリバン), ザコが何匹いたって、イガ星の再興も、アタシを倒すこともできやしないよ！
ダメージ小(対宇宙刑事シャイダー), お～やおや！ 戦士シャイダーも地に堕ちたものだねぇ～？
ダメージ中, なかなかやるじゃないかぁ～。でもこんなのはまだ序の口…
ダメージ中, あっははははは……ちょっとはやるじゃないかこわっぱども。面白い！
ダメージ中, ようやく面白くなってきたよ
ダメージ中, 面白くなってきたねぇ！
ダメージ中, 調子に乗るんじゃないよ！！
ダメージ中, ふん、調子に乗るなこわっぱども。私に勝てると思ってるのか！
ダメージ中(対宇宙刑事), あのような小僧に、不覚を取るとは！
ダメージ中(対宇宙刑事ギャバン), さすがは宇宙刑事ギャバン。.まあこの程度は楽しませてくれなくちゃあねぇ
ダメージ中(対宇宙刑事シャリバン), ずいぶんいい気になってるようだねぇ、シャリバン
ダメージ中(対宇宙刑事シャイダー), なるほど～、かつてムー帝国を滅ぼしただけのことはある
ダメージ大, バ、バリアが！？
ダメージ大, こわっぱどもがあ！！ よぉぉ～くもやってくれたね！！
ダメージ大, な、なぜだっ！？ 暗黒銀河の支配者である、この私がっ！？
ダメージ大, このアタシが押されている！？ ぬうぅぅぅ～、もう許さないよ！！
ダメージ大, 勝ったと思ったら大間違いさ！ 暗黒銀河女王の恐ろしさは、これからだよ！！
ダメージ大(対宇宙刑事), まさか宇宙刑事どもに、これほどのパワーがあるとは！！
ダメージ大(対宇宙刑事ギャバン), ギャバンめぇぇ～っ！！ お前だけは、なんとしても私の手で！
ダメージ大(対宇宙刑事シャリバン), こ、これは！？ イガ星の守護神が、奴に味方してるというのか！？
ダメージ大(対宇宙刑事シャイダー), おぉのれぇぇ～っ、シャイダー！ .こわっぱの分際で、よくも！！
破壊, そんな…！？ まさか、私が…！！
破壊(対宇宙刑事), ぎぃぃぃ～、ぐやじぃぃ～！！.おのれおのれ、宇宙刑事めぇぇ～～っ！！
射程外, 待っていなぁ、こわっぱども！ うはははははは！！
格闘, はっ！！
攻撃, 我は暗黒宇宙の支配者、暗黒銀河女王…！
攻撃, 地球をギッタギタに、切り裂いてやるのさ！
攻撃, このアタシが、お前たちの力を見定めてやるよ！
攻撃, そろそろアタシが、直々に相手をしてやろうかねえ！
攻撃, 死ねぇぇぇーーーっ！！
攻撃, 愚か者め！！
攻撃, このあたしが直々に相手をしてやる！ 生きて帰れると思うなよ！！
攻撃, 覚悟するんだね！！
攻撃, 私に従わぬ者に残されたのは、死あるのみ！
攻撃, それっ！！
攻撃, 暗黒銀河の力、思い知るのだ！
攻撃, この大宇宙ぜぇ～んぶが、私のものよ！ 誰にも邪魔させないからね！
攻撃(対宇宙刑事), よく来た宇宙刑事たちよ！
攻撃(対宇宙刑事), 宇宙刑事は一人残らず、この世界から消し去ってやるのさ！
攻撃(対宇宙刑事), 銀河警察の犬が何匹集まろうと、この暗黒銀河女王には勝てやしないよ！！
攻撃(対宇宙刑事ギャバン), 喜ぶんだね。私がお前をボイサーの元に送ってあげるよ！
攻撃(対宇宙刑事シャリバン), お前はイガ星の再興を果たせずして、ここで死ぬんだよ！
攻撃(対宇宙刑事シャイダー), 戦士シャイダーの末裔がなんだっていうんだい？ 
攻撃(対時空戦士スピルバン), スピルバンよ。クリン星の秘密を知ってもまだ戦うのかい？
攻撃(対時空戦士スピルバン), こわっぱのスピルバン坊主めぇぇ～！！ ペシペシしてやるよ！！
攻撃(対星雲仮面), マシンマンだって？ 小僧に何ができるってんだい！
攻撃(対電子戦隊), デンジマンども！ ５人まとめて始末してあげるよ！
攻撃(対電子戦隊), 薄汚いデンジ星人の血も、いよいよ終わりだねぇ？ アッアハハハハハ！！
攻撃(対太陽戦隊), 暗黒宇宙の暗闇は、太陽など一瞬で呑み込んでしまうのさ！
攻撃(対太陽戦隊), 生意気なサンバルカンども！ たった３人で、アタシに逆らおうってのかい！
攻撃(対恐竜戦隊), ジュウレンジャーめ！ 恐竜もろとも滅びるがいいっ！！
攻撃(対恐竜戦隊), 一億七千年の眠りから醒めたことを、後悔させてあげるよ！！
攻撃(対魔法戦隊), ぞろぞろ群れてるんじゃないよっ、魔法使いども！！
攻撃(対魔法戦隊), お前たちを葬り去った時の天空大聖者の顔が、見ものだねぇ～！！
攻撃(対ハンターキラー), 哀れだねぇ～ハンターキラーよ！
攻撃(対ハンターキラー), お前はしょせん、出来損ないの宇宙刑事だったのさ！
攻撃(対ハンターキラー), ぬうううう！！ ハンターキラー！ 貴様またしても裏切るつもりか！？
攻撃(対ハンターキラー), この私を裏切ることの愚かさを、思い知るがいい！！
攻撃(対サン・ドルバ), サン・ドルバめっ、勝手なことを！ 私の計画に、従え！！
攻撃(対サン・ドルバ), ふん、親子揃って使えない！ 貴様らのような奴はもういらん！
攻撃(対魔女キバ), ふん、親子揃って使えない！ 貴様らのような奴はもういらん！
攻撃(対軍師レイダー), この私を裏切ることの愚かさを、思い知るがいい！！
攻撃(対神官ポー), ポーめ！ 大宇宙一の美女は、２人もいらないよ！！
ダークレーザー, ダーークレーザーーッ！！
ゲルファンタジア, もがき苦しめぇ！！;ゲルファンタジアーッ！！！ アッハハハハハ！！
サポートアタック, お楽しみはこれからだよ？ うっうはははははは！！
サポートアタック(サン・ドルバ), 情けないぞぉ、サン・ドルバ！


