#### 銀河連邦警察 ------------------------------------------------------

宇宙刑事シャリバン
赤射, -
ダメージ小, ヴッヴッヴッヴ………
ダメージ中, ゥヴァゥヴァゥヴァゥヴァゥ……
ダメージ中, ヴヴヴヴヴヴヴ…！！
ダメージ大, ヴァァァァゥ！！？
ダメージ大, ヴァァァウゥゥゥゥ…！
破壊, ヴァァァァァァァ！！！！
射程外, ヴァァァァゥ………
攻撃, ヴァァァァーーッ！！
攻撃, ヴァァァァァァァ！！
攻撃, ヴヴヴヴヴヴヴヴヴ！！
攻撃, ヴェァァァ……！！
攻撃, ヴゥゥゥゥゥ………ヴァァァァ！！
攻撃, ヴッヴッヴッヴ………ヴァァァァ！！



ベンガルブラザーズ(汎用)
回避, ふふふふふふ！
回避, 仏心を出すからだ！
回避, ああ、愉快愉快！
回避, 貴様ごときがベンガルブラザーズにかなうと思っているのか！
ダメージ小, こいつは意外と脆いぜ！
ダメージ小, ふふふふふ！ かゆいかゆい！
ダメージ小, 貴様も我ら兄弟に殺されたいらしいな！
ダメージ小, ベンガルブラザーズの名を知って、まだ向かってくるか！
ダメージ中, ふん、しぶとい奴！
ダメージ中, うおっ！？ なめた真似をしおって！
ダメージ中, ちっ！ 調子に乗るのもそこまでだぞ！
ダメージ中, こんな星にも、少しは腕の立つのがいたか！
ダメージ中(対宇宙刑事シャリバン), ふっふっふっふ、さすが宇宙刑事シャリバン！
ダメージ大, な、なんだこいつは！？
ダメージ大, ぐわぁ！？ おのれ貴様ぁ！！
ダメージ大, ぐおおっ！？ き、貴様は必ず始末してやる！
ダメージ大, くそっ…！ 目的も果たさぬままで、やられてたまるか！
破壊, ぎゃあぁぁーーっ！！！
破壊, う、うおおぉぉーーーっ！？
射程外, こざかしいことを！ 今に見ていろ！
攻撃, たあーっ！！
攻撃, とあっ！！
攻撃, 宇宙の殺し屋、ベンガルブラザーズ！！
攻撃, わざわざやってきたんだ、暗黒のマジェラン星雲からな！
攻撃, 貴様を抹殺する！
攻撃, ほんの手土産代わりだ！
攻撃, やるか！
攻撃(宇宙海賊ベンガルタイガー), ベンガル・タイガー！！
攻撃(宇宙海賊ベンガルコブラ), ベンガル・コブラ！！
攻撃(対宇宙刑事), 奴が宇宙刑事か！
攻撃(対宇宙海賊バルバン), バルバンの組織もいずれ我らのものよ！
攻撃(対海賊戦隊), 奴らの首を取れば、帝国に取り入るのも夢ではない！
攻撃(対海賊戦隊), 貴様たちか。ザンギャックに刃向かった命知らずとは！



宇宙海賊ベムサソリ
回避, どきやがれ！
回避, ぐふふふふふ！
回避, こいつは愉快だ！
回避, 貴様ごときが、わしに勝てると思っているのか！
ダメージ小, 一体何のつもりだ？
ダメージ小, このベムサソリに敵はいねえ！
ダメージ小, ぐふふふふふ！ かゆいぜ！
ダメージ小, 貴様もわしに殺されたいらしいな！
ダメージ中, て、てめえ！
ダメージ中, おのれぇ、しぶとい奴！
ダメージ中, おおっ！？ ふざけた真似を！
ダメージ中, 地球にも少しはできる奴がいたか！
ダメージ中(対宇宙刑事シャリバン), やりおったな、シャリバン！
ダメージ大, こいつ、化け物か！？
ダメージ大, な、なんだこのパワーは！？
ダメージ大, ぎゃああぁーっ！？ き、貴様ぁ！！
ダメージ大, こ、これでは、褒美どころの話じゃねえぜ！
破壊, ぎゃあぁぁーーっ！！！
破壊, うおおぉぉーーーっ！？
射程外, 卑怯者め！
攻撃, いくぜ！
攻撃, これで最後だ！
攻撃, 死んでもらおうか！
攻撃, わしゃあ金には目が無いのよ！
攻撃, てめえの首を金に換えてやる！
攻撃, ぐふふふ……こんなうまい仕事はないぜ！
攻撃, お前をやりゃあ、魔王からたんまり褒美が出るのよ！
攻撃(対宇宙刑事), 奴が宇宙刑事か！ わしに任せろ！
攻撃(対ミミー(ギャバン)), お前に逃げられては、褒美の金を貰い損ねる！
攻撃(対ミミー(ギャバン)), コム長官の娘！ 大人しくしろ！
攻撃(対宇宙海賊バルバン), ゼイハブんとこの連中か！
攻撃(対海賊戦隊), 宇宙最大のお宝はわしのもんだ！
攻撃(対海賊戦隊), てめえらまとめてザンギャックに売っ払ってやる！

## 一部、汎用ＳＦフォルダの超能力犯罪者(ザコ)を改変。


